"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall døgnopphold";"Antall kontakter i poliklinikk";"Antall dagbehandlinger";"FLAGG"
"2019";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"230639";"49648";"265958";"65638";"429181";"40827";""
"2019";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"163976";"32621";"195163";"43037";"334081";"34302";""
"2019";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"113375";"23723";"147104";"31194";"197672";"27588";""
"2019";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Landet";"536885";"0";"0";"0";"916928";"0";""
"2019";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"333289";"0";"0";"0";"587658";"0";""
"2019";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"106420";"0";"0";"0";"170448";"0";""
"2019";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"65768";"0";"0";"0";"109931";"0";""
"2019";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"31487";"0";"0";"0";"48891";"0";""
"2019";"januar-april";"Somatikk (SOM)";"Alle aktører";"Landet";"1473721";"233902";"1324979";"309648";"3011262";"243206";""
"2019";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"834016";"127954";"716754";"169779";"1721058";"140489";""
"2019";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Vest";"300852";"49648";"265958";"65638";"599629";"40827";""
"2019";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"205819";"32621";"195163";"43037";"444012";"34302";""
"2019";"januar-april";"Somatikk (SOM)";"Alle aktører";"Region Nord";"133572";"23723";"147104";"31194";"246563";"27588";""
"2019";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1600933";"413673";"2566840";"605325";"3946944";"457089";""
"2019";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"875282";"227197";"1392441";"332473";"2147047";"264586";""
"2019";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"332287";"87892";"514882";"128416";"803984";"75613";""
