"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall kontakter i poliklinikk";"FLAGG"
"2023";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"34360";"9813";"607947";"568523";""
"2023";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"21521";"5882";"379479";"306726";""
"2023";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"6973";"1764";"103877";"181184";""
"2023";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"3574";"1257";"64497";"55241";""
"2023";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"2534";"963";"60094";"25372";""
"2024";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"24494";"5114";"195568";"201518";""
"2024";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"15475";"3055";"122606";"113809";""
"2024";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"5143";"954";"33572";"60821";""
"2024";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"2306";"627";"20914";"18178";""
"2024";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"1626";"483";"18476";"8710";""
"2024";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"29400";"7513";"380283";"376151";""
"2024";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"18612";"4523";"240004";"209647";""
"2024";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"6033";"1377";"64340";"116092";""
"2024";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"2853";"925";"39935";"33830";""
"2024";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"2040";"710";"36004";"16582";""
"2024";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"33982";"9415";"567818";"570026";""
"2024";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"21552";"5664";"357692";"315557";""
"2024";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"6865";"1716";"94619";"177665";""
"2024";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"3427";"1180";"59609";"51488";""
"2024";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"2375";"897";"55898";"25316";""
"2025";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"23479";"4870";"176998";"185917";""
"2025";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"14598";"2881";"109552";"101799";""
"2025";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"4941";"871";"29502";"57560";""
"2025";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"2332";"634";"19568";"17374";""
"2025";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"1664";"491";"18376";"9184";""
"2025";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"28478";"7285";"350720";"349295";""
"2025";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"17781";"4312";"218188";"188505";""
"2025";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"5866";"1326";"58496";"110205";""
"2025";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"2947";"980";"38758";"33651";""
"2025";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"2039";"686";"35278";"16934";""
"2025";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"33313";"9273";"538677";"536440";""
"2025";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"20890";"5518";"335510";"291458";""
"2025";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"6689";"1663";"89053";"166727";""
"2025";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"3562";"1256";"60226";"52893";""
"2025";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"2410";"874";"53888";"25362";""
"2026";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"23903";"5151";"187810";"189045";""
"2026";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"14732";"3088";"117779";"102768";""
"2026";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"5100";"889";"29500";"57195";""
"2026";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"2558";"689";"21270";"19946";""
"2026";"januar-april";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"1576";"491";"19261";"9136";""
"2026";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"";"";"";"";".."
"2026";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"";"";"";"";".."
"2026";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"";"";"";"";".."
"2026";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"";"";"";"";".."
"2026";"januar-august";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"";"";"";"";".."
"2026";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Landet";"";"";"";"";".."
"2026";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Sør-Øst";"";"";"";"";".."
"2026";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Vest";"";"";"";"";".."
"2026";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Midt-Norge";"";"";"";"";".."
"2026";"hele året";"TSB-Tverrfaglig spesialisert rusbehandling";"Alle aktører";"Region Nord";"";"";"";"";".."
