"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall kontakter i poliklinikk";"FLAGG"
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Sør-Øst";"74299";"7378";"200254";"525917";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Vest";"27064";"2880";"79705";"171538";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Midt-Norge";"18337";"1823";"41524";"112374";""
"2019";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Nord";"11693";"1570";"37219";"66886";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Landet";"126935";"20901";"701325";"1203054";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"69881";"11370";"392369";"695854";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Vest";"24936";"4355";"157845";"233293";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"19733";"2813";"79641";"173893";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Nord";"12911";"2398";"71470";"100014";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Landet";"42229";"0";"0";"388208";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Sør-Øst";"26386";"0";"0";"262244";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Vest";"9830";"0";"0";"76090";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Midt-Norge";"3869";"0";"0";"29549";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Nord";"2222";"0";"0";"20325";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Landet";"164625";"20901";"701325";"1591262";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Sør-Øst";"93378";"11370";"392369";"958098";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Vest";"33773";"4355";"157845";"309383";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Midt-Norge";"23166";"2813";"79641";"203442";""
"2019";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Nord";"14920";"2398";"71470";"120339";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Landet";"153898";"27505";"1065478";"1836796";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"85294";"14965";"594600";"1060586";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Vest";"30175";"5714";"239174";"358668";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"23830";"3721";"121685";"265961";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Nord";"15557";"3197";"110019";"151581";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Landet";"50922";"0";"0";"610614";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Sør-Øst";"31633";"0";"0";"412892";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Vest";"11826";"0";"0";"119402";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Midt-Norge";"4711";"0";"0";"45439";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Nord";"2888";"0";"0";"32881";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Landet";"197661";"27505";"1065478";"2447410";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Sør-Øst";"112338";"14965";"594600";"1473478";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Vest";"40518";"5714";"239174";"478070";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Midt-Norge";"27852";"3721";"121685";"311400";""
"2019";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Nord";"18069";"3197";"110019";"184462";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Landet";"98922";"12841";"330886";"639961";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"54934";"7004";"185936";"372052";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Vest";"19451";"2753";"74050";"123250";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"15490";"1646";"37239";"92358";""
