Tidsperiode,Kvalitetsindikator,Måltall,Lokasjon,Verdi,Sektor,Nivå,QualityIndicatorID,LocationId
2023,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Vest RHF,"46,9%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,983658725
2024,"5 års relativ overlevelse etter kreft i eggstokk, eggleder eller bukhinne hos kvinner",5 års relativ overlevelse etter eggstokkreft,Helse Vest RHF,"45,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,366,983658725
2021,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Midt-Norge RHF,"30,3%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,983658776
2022,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Midt-Norge RHF,"30,8%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,983658776
2023,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Midt-Norge RHF,"31,8%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,983658776
2024,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Midt-Norge RHF,"32,0%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,983658776
2021,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Nord RHF,"27,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,883658752
2022,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Nord RHF,"28,6%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,883658752
2023,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Nord RHF,"30,2%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,883658752
2024,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Nord RHF,"32,9%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,883658752
2021,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Sør-Øst RHF,"27,8%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,991324968
2022,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Sør-Øst RHF,"28,3%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,991324968
2023,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Sør-Øst RHF,"30,0%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,991324968
2024,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Sør-Øst RHF,"31,1%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,991324968
2021,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Vest RHF,"30,2%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,983658725
2022,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Vest RHF,"31,4%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,983658725
2023,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Vest RHF,"33,0%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,983658725
2024,5 års relativ overlevelse etter lungekreft,5-års relativ overlevelse etter lungekreft,Helse Vest RHF,"33,4%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,11,983658725
2021,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Midt-Norge RHF,"70,0%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,983658776
2022,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Midt-Norge RHF,"70,4%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,983658776
2023,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Midt-Norge RHF,"71,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,983658776
2024,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Midt-Norge RHF,"72,2%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,983658776
2021,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Nord RHF,"71,3%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,883658752
2022,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Nord RHF,"71,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,883658752
2023,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Nord RHF,"71,3%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,883658752
2024,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Nord RHF,"70,4%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,883658752
2021,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Sør-Øst RHF,"69,7%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,991324968
2022,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Sør-Øst RHF,"68,9%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,991324968
2023,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Sør-Øst RHF,"69,5%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,991324968
2024,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Sør-Øst RHF,"69,7%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,991324968
2021,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Vest RHF,"71,0%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,983658725
2022,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Vest RHF,"71,6%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,983658725
2023,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Vest RHF,"71,4%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,983658725
2024,5 års relativ overlevelse etter tykktarmskreft,5-års relativ overlevelse etter tykktarmskreft,Helse Vest RHF,"71,9%",Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,13,983658725
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Midt-Norge RHF,3277,Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,19,983658776
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Midt-Norge RHF,2955,Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,19,983658776
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Midt-Norge RHF,3494,Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,19,983658776
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Helse Midt-Norge RHF,4099,Spesialisthelsetjenesten,Fylke/Regionalt helseforetak,19,983658776
