Tidsperiode,Kvalitetsindikator,Måltall,Lokasjon,Verdi,Sektor,Nivå,QualityIndicatorID,LocationId
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset i Vestfold HF,1353,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983975259
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Innlandet HF,1712,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971709
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Innlandet HF,1425,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971709
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Innlandet HF,1565,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971709
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Innlandet HF,1459,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971709
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Innlandet HF,1754,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971709
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Telemark HF,871,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983975267
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Telemark HF,725,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983975267
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Telemark HF,811,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983975267
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Telemark HF,798,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983975267
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Telemark HF,889,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983975267
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Østfold HF,1525,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971768
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Østfold HF,1558,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971768
2023,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Østfold HF,1949,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971768
2024,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Østfold HF,1940,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971768
2025,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sykehuset Østfold HF,1829,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983971768
2021,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sørlandet sykehus HF,1531,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983975240
2022,"Barne- og ungdomsgarantien, andel startet helsehjelp innen 65 dager",Antall barn og unge under 23 år som har rett til helsehjelp,Sørlandet sykehus HF,1395,Spesialisthelsetjenesten,Kommune/Helseforetak/Legevakt/Helsefellesskap,19,983975240
